Id,Station,Gender,Helmet,Location,Comments,CreatedDate,Column1,Column2,Column3,,Time
74,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:12:24 AM,9
75,Location 4: Regents Drive at Main Administration,Female,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:17:45 AM,9
76,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:17:57 AM,9
77,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:18:49 AM,9
78,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:19:41 AM,9
79,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:20:21 AM,9
80,Location 4: Regents Drive at Main Administration,Female,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:20:40 AM,9
81,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:11 AM,9
82,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:14 AM,9
83,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:18 AM,9
84,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:22 AM,9
85,Location 4: Regents Drive at Main Administration,Male,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:31 AM,9
86,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:35 AM,9
87,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:21:42 AM,9
88,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:24:15 AM,9
89,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:24:54 AM,9
90,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:25:09 AM,9
91,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:27:13 AM,9
92,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:27:19 AM,9
93,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:27:32 AM,9
94,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:27:53 AM,9
95,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:28:43 AM,9
96,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:28:47 AM,9
97,Location 4: Regents Drive at Main Administration,Female,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:28:52 AM,9
